labels,max_heights,mean_heights,variance_heights,max_heights_left,mean_heights_left,variance_heights_left,max_heights_right,mean_heights_right,variance_heights_right,max_heights_top,mean_heights_top,variance_heights_top,max_heights_bottom,mean_heights_bottom,variance_heights_bottom
0.0,29.0,21.428571428571427,90.74489795918366,29.0,21.23076923076923,91.10059171597634,29.0,20.76923076923077,99.10059171597632,29.0,26.275862068965516,11.992865636147442,29.0,28.03448275862069,4.791914387633768
1.0,29.0,26.535714285714285,27.534438775510203,29.0,27.46153846153846,11.940828402366865,29.0,27.0,19.846153846153847,29.0,28.20689655172414,2.0951248513674194,29.0,28.17241379310345,4.07372175980975
0.0,29.0,21.785714285714285,76.23979591836735,29.0,21.53846153846154,83.1715976331361,29.0,21.384615384615383,78.08284023668638,29.0,26.620689655172413,5.545778834720572,29.0,28.551724137931036,0.2473246135552914
3.0,29.0,23.464285714285715,75.96301020408164,29.0,23.53846153846154,76.71005917159763,29.0,23.0,85.6923076923077,29.0,26.96551724137931,12.44708680142687,29.0,26.20689655172414,26.370986920332946
4.0,29.0,23.964285714285715,33.391581632653065,29.0,23.307692307692307,43.289940828402365,29.0,24.153846153846153,26.745562130177515,29.0,26.689655172413794,6.69678953626635,29.0,27.482758620689655,3.4221165279429244
1.0,29.0,24.857142857142858,51.90816326530611,29.0,25.23076923076923,54.02366863905324,29.0,25.46153846153846,49.17159763313611,29.0,28.0,4.551724137931035,29.0,28.06896551724138,6.615933412604041
2.0,29.0,25.214285714285715,10.668367346938775,29.0,25.307692307692307,11.443786982248524,29.0,25.307692307692307,11.289940828402367,29.0,26.620689655172413,9.959571938168843,29.0,26.862068965517242,5.980975029726517
2.0,29.0,24.678571428571427,18.503826530612248,29.0,24.53846153846154,17.940828402366865,29.0,24.46153846153846,21.01775147928994,29.0,26.551724137931036,8.040428061831154,29.0,27.79310344827586,0.9227110582639713
2.0,29.0,24.285714285714285,18.27551020408163,29.0,24.53846153846154,17.479289940828405,29.0,23.923076923076923,21.6094674556213,29.0,26.344827586206897,15.191438763376933,29.0,27.103448275862068,3.2651605231866823
1.0,29.0,25.642857142857142,38.08673469387755,29.0,27.153846153846153,18.1301775147929,29.0,26.153846153846153,31.668639053254445,29.0,28.344827586206897,1.6741973840665876,29.0,27.96551724137931,7.7574316290130785
3.0,29.0,23.5,74.32142857142857,29.0,23.076923076923077,86.68639053254437,29.0,23.53846153846154,72.24852071005917,29.0,27.96551724137931,6.653983353151011,29.0,27.310344827586206,10.214030915576696
4.0,29.0,25.464285714285715,44.60586734693878,29.0,25.615384615384617,48.390532544378694,29.0,25.384615384615383,47.62130177514794,29.0,27.275862068965516,8.751486325802617,29.0,28.344827586206897,0.5017835909631392
3.0,29.0,27.285714285714285,6.989795918367349,29.0,27.307692307692307,8.98224852071006,29.0,27.615384615384617,5.159763313609468,29.0,27.275862068965516,9.785969084423305,29.0,27.620689655172413,10.028537455410223
